id,isbn,isbn13,authors,original_publication_year,original_title,title,language_code
425,1416914633,9781420000000,"Beatrice Sparks, Anonymous",1971,Go Ask Alice,Go Ask Alice,eng
426,802130208,9780800000000,"John Kennedy Toole, Walker Percy",1980,A Confederacy of Dunces,A Confederacy of Dunces,eng
427,158049580X,9781580000000,Oscar Wilde,1895,The Importance of Being Earnest,The Importance of Being Earnest,eng
428,1423140605,9781420000000,Rick Riordan,2012,The Mark of Athena,"The Mark of Athena (The Heroes of Olympus, #3)",eng
429,60855924,9780060000000,Terry Pratchett,1983,The Colour of Magic,"The Color of Magic (Discworld, #1; Rincewind #1)",eng
430,1400079276,9781400000000,"Haruki Murakami, Philip Gabriel",2002,海辺のカフカ [Umibe no Kafuka],Kafka on the Shore,en-US
431,525945563,9780530000000,Thomas Harris,1981,Red Dragon,"Red Dragon (Hannibal Lecter, #1)",eng
432,553803700,9780550000000,Isaac Asimov,1950,"I, Robot","I, Robot (Robot #0.1)",eng
433,451216954,9780450000000,J.R. Ward,2005,Dark Lover,"Dark Lover (Black Dagger Brotherhood, #1)",eng
434,1416989439,9781420000000,Becca Fitzpatrick,2010,Crescendo,"Crescendo (Hush, Hush, #2)",en-US
435,61726818,9780060000000,Lauren Oliver,2010,Before I Fall,Before I Fall,eng
436,679457313,9780680000000,Arundhati Roy,1997,The God of Small Things,The God of Small Things,eng
437,670024783,9780670000000,Sue Monk Kidd,2014,The Invention of Wings,The Invention of Wings,en-US
438,141043768,9780140000000,Liane Moriarty,2009,What Alice Forgot,What Alice Forgot,eng
439,553380168,9780550000000,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",1987,A Brief History of Time: From the Big Bang to Black Holes,A Brief History of Time,eng
440,525951652,9780530000000,Ken Follett,2010,Fall of Giants,"Fall of Giants (The Century Trilogy, #1)",eng
441,1439148503,9781440000000,Stephen King,2009,Under the Dome,Under the Dome,eng
442,553380958,9780550000000,Neal Stephenson,1992,Snow Crash,Snow Crash,eng
443,670061050,9780670000000,Sarah Dessen,2006,Just Listen,Just Listen,en-US
444,525467564,9780530000000,"A.A. Milne, Ernest H. Shepard",1926,Winnie-the-Pooh,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",eng
445,62060554,9780060000000,S.J. Watson,2011,Before I Go to Sleep,Before I Go to Sleep,en-CA
446,1420925539,9781420000000,Arthur Conan Doyle,1887,A Study in Scarlet,A Study in Scarlet,eng
447,375826726,9780380000000,Christopher Paolini,2008,Brisingr,"Brisingr (The Inheritance Cycle, #3)",eng
448,310276993,9780310000000,Rick Warren,2002,The Purpose Driven Life: What on Earth am I Here For?,The Purpose Driven Life: What on Earth Am I Here for?,en-US
449,312360282,9780310000000,"P.C. Cast, Kristin Cast",2007,Betrayed: a House of Night Novel,"Betrayed (House of Night, #2)",en-US
450,451457811,9780450000000,Jim Butcher,2000,Storm Front,"Storm Front (The Dresden Files, #1)",en-US
451,1593082649,9781590000000,"Jane Austen, Alfred MacAdam",1817,Northanger Abbey,Northanger Abbey,eng
452,399162410,9780400000000,Rick Yancey,2013,The 5th Wave,"The 5th Wave (The 5th Wave, #1)",eng
453,802142842,9780800000000,Charles Frazier,1997,Cold Mountain,Cold Mountain,en-US
454,60245867,9780060000000,"Laura Joffe Numeroff, Felicia Bond",1985,If You Give a Mouse a Cookie,If You Give a Mouse a Cookie,en-US
455,312323867,9780310000000,Emily Giffin,2005,Something Blue,"Something Blue (Darcy & Rachel, #2)",en-US
456,822210894,9780820000000,Tennessee Williams,1947,A Streetcar Named Desire,A Streetcar Named Desire,eng
457,751537284,9780750000000,Elizabeth Kostova,2005,The Historian,The Historian,eng
458,385353308,9780390000000,Emily St. John Mandel,2014,Station Eleven,Station Eleven,eng
459,1476738017,9781480000000,"Fredrik Backman, Henning Koch",2012,En man som heter Ove,A Man Called Ove,eng
460,1406321346,9781410000000,Cassandra Clare,2013,Clockwork Princess,"Clockwork Princess (The Infernal Devices, #3)",eng
461,1416500189,9781420000000,Pearl S. Buck,1931,The Good Earth,"The Good Earth (House of Earth, #1)",eng
462,140135154,9780140000000,John Berger,1972,Ways of Seeing,Ways of Seeing,eng
463,385335970,9780390000000,Diana Gabaldon,1992,Dragonfly in Amber,"Dragonfly in Amber (Outlander, #2)",eng
464,,,Anonymous,1611,,Holy Bible: King James Version,eng
465,743495667,9780740000000,Jennifer Weiner,2002,In Her Shoes,In Her Shoes,
466,345368584,9780350000000,"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",1989,The Hobbit,The Hobbit: Graphic Novel,eng
467,1594489580,9781590000000,Junot Díaz,2007,The Brief Wondrous Life of Oscar Wao,The Brief Wondrous Life of Oscar Wao,eng
468,61120065,9780060000000,Zora Neale Hurston,1937,Their Eyes Were Watching God,Their Eyes Were Watching God,eng
469,439321603,9780440000000,"Newt Scamander, J.K. Rowling, Albus Dumbledore",2001,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,eng
470,316322407,9780320000000,"Malala Yousafzai, Christina Lamb",2012,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,eng
471,141439807,9780140000000,"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",1814,Mansfield Park,Mansfield Park,eng
472,080701429X,9780810000000,Viktor E. Frankl,1946,…trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,Man's Search for Meaning,eng
473,670038601,9780670000000,Tana French,2007,In the Woods,"In the Woods (Dublin Murder Squad, #1)",eng
474,618680004,9780620000000,Richard Dawkins,2006,The God Delusion,The God Delusion,eng
475,525422943,9780530000000,Gayle Forman,2011,Where She Went,"Where She Went (If I Stay, #2)",en-US
476,345915593,9780350000000,John Irving,1978,The World According to Garp,The World According to Garp,eng
477,515141429,9780520000000,Lee Child,1997,Killing Floor,"Killing Floor (Jack Reacher, #1)",eng
478,375757325,9780380000000,"Daniel Defoe, Gerald McCann, Virginia Woolf",1719,"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner",Robinson Crusoe,eng
479,937832383,9780940000000,"Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",1513,Il Principe,The Prince,eng
480,440238153,9780440000000,Philip Pullman,2000,The Amber Spyglass,"The Amber Spyglass (His Dark Materials, #3)",eng
481,765346524,9780770000000,Terry Goodkind,1994,Wizard's First Rule,"Wizard's First Rule (Sword of Truth, #1)",eng
482,1439153663,9781440000000,Kathleen Grissom,2010,The Kitchen House,The Kitchen House,en-CA
483,316769029,9780320000000,J.D. Salinger,1961,Franny and Zooey,Franny and Zooey,en-US
484,385720920,9780390000000,Chuck Palahniuk,2001,Choke,Choke,eng
485,374528373,9780370000000,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",1880,Братья Карамазовы,The Brothers Karamazov,eng
486,375822747,9780380000000,Jeanne DuPrau,2003,The City of Ember,"The City of Ember (Book of Ember, #1)",eng
487,60541814,9780060000000,Michael Crichton,1969,The Andromeda Strain,The Andromeda Strain,
488,451933028,9780450000000,Stephen King,1996,The Green Mile,The Green Mile,eng
489,000100039X,9780000000000,Kahlil Gibran,1923,The Prophet,The Prophet,eng
490,394541553,9780390000000,Art Spiegelman,1985,Maus: A Survivor's Tale : My Father Bleeds History,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",eng
491,312379838,9780310000000,"P.C. Cast, Kristin Cast",2008,Untamed: A House of Night Novel,"Untamed (House of Night, #4)",en-US
492,812550757,9780810000000,Orson Scott Card,1986,Speaker for the Dead,"Speaker for the Dead (Ender's Saga, #2)",en-US
493,684823780,9780680000000,C.S. Lewis,1952,Mere Christianity,Mere Christianity,eng
494,1400031702,9781400000000,Donna Tartt,1992,The Secret History,The Secret History,eng
495,375725784,9780380000000,Dave Eggers,2000,A Heartbreaking Work of Staggering Genius,A Heartbreaking Work of Staggering Genius,eng
496,553381679,9780550000000,Jean M. Auel,1980,The Clan of the Cave Bear,"The Clan of the Cave Bear (Earth's Children, #1)",eng
497,439228905,9780440000000,Anna Sewell,1877,Black Beauty,Black Beauty,eng
498,192833987,9780190000000,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",1869,Война и миръ,War and Peace,eng
499,679735771,9780680000000,Bret Easton Ellis,1991,American Psycho,American Psycho,eng
500,613371658,9780610000000,Meg Cabot,2000,The Princess Diaries,"The Princess Diaries (The Princess Diaries, #1)",eng
501,1400034779,9781400000000,Alexander McCall Smith,1998,The No. 1 Ladies' Detective Agency ,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",eng
502,1582406723,9781580000000,"Robert Kirkman, Tony Moore",2004,"The Walking Dead, Vol. 1: Days Gone Bye","The Walking Dead, Vol. 01: Days Gone Bye",en-GB
503,451457994,9780450000000,Arthur C. Clarke,1968,2001: A Space Odyssey,"2001: A Space Odyssey (Space Odyssey, #1)",eng
504,1590525132,9781590000000,Francine Rivers,1991,,Redeeming Love,eng
505,842342702,9780840000000,"Tim LaHaye, Jerry B. Jenkins",1995,Left Behind:  A Novel of the Earth's Last Days,"Left Behind (Left Behind, #1)",eng
506,62059998,9780060000000,Kiera Cass,2014,The One,"The One (The Selection, #3)",eng
507,545265355,9780550000000,Suzanne Collins,2010,The Hunger Games Box Set,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",eng
508,805063897,9780810000000,Barbara Ehrenreich,2001,Nickel and Dimed: On (Not) Getting By in America,Nickel and Dimed: On (Not) Getting By in America,eng
509,593053893,9780590000000,Sophie Kinsella,2008,Remember Me?,Remember Me?,eng
510,812517725,9780810000000,Robert Jordan,1990,The Great Hunt,"The Great Hunt (Wheel of Time, #2)",en-US
511,743477154,9780740000000,Patricia Cornwell,1990,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta,"Postmortem (Kay Scarpetta, #1)",eng
512,385074077,9780390000000,Edgar Allan Poe,1849,The Complete Tales of Edgar Allan Poe,The Complete Stories and Poems,en-US
513,553256696,9780550000000,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill",1971,The Hiding Place,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,en-US
514,192835084,9780190000000,Arthur Conan Doyle,1892,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,eng
515,553381547,9780550000000,Pat Conroy,1986,The Prince of Tides,The Prince of Tides,eng
516,312282990,9780310000000,Michael Chabon,2000,The Amazing Adventures of Kavalier & Clay,The Amazing Adventures of Kavalier & Clay,eng
517,802798233,9780800000000,Simone Elkeles,2008,Perfect Chemistry,"Perfect Chemistry (Perfect Chemistry, #1)",eng
518,805072454,9780810000000,"J.M. Barrie, Michael Hague",1904,Peter Pan,Peter Pan,en-US
519,689865392,9780690000000,Scott Westerfeld,2005,Pretties,"Pretties (Uglies, #2)",eng
520,965341984,9780970000000,"Haruki Murakami, Jay Rubin",1994,ねじまき鳥クロニクル [Nejimakidori kuronikuru],The Wind-Up Bird Chronicle,eng
521,739465511,9780740000000,Michael Connelly,2005,The Lincoln Lawyer ,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",eng
522,375507256,9780380000000,David Mitchell,2004,Cloud Atlas,Cloud Atlas,eng
523,767902890,9780770000000,Tim O'Brien,1990,The Things They Carried,The Things They Carried,en-US
524,1844137872,9781840000000,Banksy,1988,Wall and Piece,Wall and Piece,eng
525,006197806X,9780060000000,Lauren Oliver,2012,Pandemonium,"Pandemonium (Delirium, #2)",eng
526,307277887,9780310000000,Jeff Lindsay,2004,Darkly Dreaming Dexter,"Darkly Dreaming Dexter (Dexter, #1)",eng
527,1841493007,9781840000000,Charlaine Harris,2002,Living Dead in Dallas,"Living Dead in Dallas (Sookie Stackhouse, #2)",eng
528,765305119,9780770000000,Robert Jordan,1991,The Dragon Reborn ,"The Dragon Reborn (Wheel of Time, #3)",eng
529,141439491,9780140000000,"Jonathan Swift, Robert DeMaria Jr.",1726,Gulliver’s Travels,Gulliver's Travels,eng
530,743482751,9780740000000,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",1598,Much Ado About Nothing,Much Ado About Nothing,eng
531,393320979,9780390000000,"Unknown, Seamus Heaney",975,Beowulf,Beowulf,en-US
532,1401207529,9781400000000,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",1987,Batman: Year One,Batman: Year One,eng
533,62409859,9780060000000,Harper Lee,2015,Go Set a Watchman,Go Set a Watchman,eng
534,316143472,9780320000000,David Sedaris,2008,When You Are Engulfed in Flames,When You Are Engulfed in Flames,en-US
535,316134023,9780320000000,Laini Taylor,2011,Daughter of Smoke & Bone,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",eng
536,1409151174,9781410000000,Victoria Aveyard,2015,Red Queen,"Red Queen (Red Queen, #1)",eng
537,1400069289,9781400000000,Charles Duhigg,2011,The Power of Habit,The Power of Habit: Why We Do What We Do in Life and Business,eng
538,679751521,9780680000000,John Berendt,1994,Midnight in the Garden of Good and Evil,Midnight in the Garden of Good and Evil,eng
539,1301949825,9781300000000,Colleen Hoover,2012,Hopeless,"Hopeless (Hopeless, #1)",eng
540,142437018,9780140000000,"Frances Hodgson Burnett, Nancy Bond",1905,A Little Princess,A Little Princess,eng
541,142406252,9780140000000,Sarah Dessen,2004,The Truth About Forever,The Truth About Forever,en-US
542,439861365,9780440000000,C.S. Lewis,1954,The horse and his boy,"The Horse and His Boy (Chronicles of Narnia, #5)",eng
543,1595143068,9781600000000,Richelle Mead,2010,Last Sacrifice ,"Last Sacrifice (Vampire Academy, #6)",eng
544,64400026,9780060000000,"Laura Ingalls Wilder, Garth Williams",1935,Little House on the Prairie,"Little House on the Prairie (Little House, #2)",eng
545,380002558,9780380000000,"Margery Williams Bianco, William   Nicholson",1922,The Velveteen Rabbit,The Velveteen Rabbit,eng
546,60589469,9780060000000,Robert M. Pirsig,1974,Zen and the Art of Motorcycle Maintenance,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,eng
547,375759239,9780380000000,"H.G. Wells, Arthur C. Clarke",1897,The War of the Worlds,The War of the Worlds,eng
548,60887303,9780060000000,Sara Shepard,2006,Pretty Little Liars,"Pretty Little Liars (Pretty Little Liars, #1)",en-US
549,670241334,9780670000000,Don Freeman,1948,Corduroy,Corduroy,en-US
550,1594200823,9781590000000,Michael Pollan,2006,The Omnivore's Dilemma,The Omnivore's Dilemma: A Natural History of Four Meals,eng
551,316176486,9780320000000,Kate Atkinson,2013,Life After Life,Life After Life,eng
552,446696129,9780450000000,Nicholas Sparks,2000,The Rescue,The Rescue,en-US
553,045057458X,9780450000000,Stephen King,1991,Needful Things,Needful Things,
554,385335997,9780390000000,Diana Gabaldon,1993,Voyager,"Voyager (Outlander, #3)",eng
555,393315053,9780390000000,"Kenneth Branagh, William Shakespeare",1996,,"Hamlet: Screenplay, Introduction And Film Diary",eng
556,307348245,9780310000000,Stephen King,1981,Cujo,Cujo,spa
557,747560595,9780750000000,Jeffrey Eugenides,1993,The Virgin Suicides,The Virgin Suicides,eng
558,441012183,9780440000000,Charlaine Harris,2004,Dead to the World,"Dead to the World (Sookie Stackhouse, #4)",eng
559,141439599,9780140000000,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",1891,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,Tess of the D'Urbervilles,eng
560,192840398,9780190000000,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",1856,Madame Bovary,Madame Bovary,eng
561,394820371,9780390000000,"Norton Juster, Jules Feiffer",1961,The Phantom Tollbooth,The Phantom Tollbooth,en-US
562,765326353,9780770000000,Brandon Sanderson,2010,The Way of Kings,"The Way of Kings (The Stormlight Archive, #1)",eng
563,1841493015,9781840000000,Charlaine Harris,2003,Club Dead,"Club Dead (Sookie Stackhouse, #3)",en-GB
564,078685197X,9780790000000,Ned Vizzini,2006,It's Kind of a Funny Story,It's Kind of a Funny Story,en-US
565,765316889,9780770000000,Brandon Sanderson,2007,,"The Well of Ascension (Mistborn, #2)",eng
566,,,Jojo Moyes,2015,After You,"After You (Me Before You, #2)",eng
567,034552554X,9780350000000,Vanessa Diffenbaugh,2011,The Language of Flowers,The Language of Flowers,eng
568,156389341X,9781560000000,"Frank Miller, Klaus Janson, Lynn Varley",1986,Batman: The Dark Knight Returns,"Batman: The Dark Knight Returns (The Dark Knight Saga, #1)",eng
569,446617792,9780450000000,James Patterson,2005,The Angel Experiment,"The Angel Experiment (Maximum Ride, #1)",eng
570,1573225517,9781570000000,Nick Hornby,1995,High Fidelity,High Fidelity,eng
571,446696110,9780450000000,Nicholas Sparks,2003,The Guardian,The Guardian,en-US
572,385721676,9780390000000,Margaret Atwood,2003,Oryx and Crake,"Oryx and Crake (MaddAddam, #1)",eng
573,60574216,9780060000000,John Gray,1998,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships","Men Are from Mars, Women Are from Venus",en-US
574,60899220,9780060000000,Anthony Bourdain,2000,Kitchen Confidential: Adventures in the Culinary Underbelly,Kitchen Confidential: Adventures in the Culinary Underbelly,eng
575,99244721,9780100000000,Michael Crichton,1999,Timeline,Timeline,en-US
576,486266893,9780490000000,Voltaire,1759,Candide,Candide,eng
577,374480095,9780370000000,Natalie Babbitt,1975,Tuck Everlasting,Tuck Everlasting,eng
578,2253147699,9782250000000,"Stephen King, Marie Milpois",1983,Christine,Christine,fre
579,1713221,9780000000000,P.D. Eastman,1960,Are You My Mother?,Are You My Mother?,eng
580,071483355X,9780710000000,E.H. Gombrich,1950,The Story of Art,The Story of Art,en-US
581,312642962,9780310000000,Marissa Meyer,2013,Scarlet,"Scarlet (The Lunar Chronicles, #2)",eng
582,751532711,9780750000000,Robert T. Kiyosaki,1997,"Rich Dad , Poor Dad","Rich Dad, Poor Dad",eng
583,1442426640,9781440000000,Becca Fitzpatrick,2011,Silence ,"Silence (Hush, Hush, #3)",eng
584,670020559,9780670000000,Lev Grossman,2009,The Magicians,The Magicians (The Magicians #1),eng
585,1421501686,9781420000000,"Tsugumi Ohba, Takeshi Obata",2004,デスノート #1 (Desu Nōto) Taikutsu (退屈),"Death Note, Vol. 1: Boredom (Death Note, #1)",eng
586,689875347,9780690000000,Libba Bray,2003,A Great and Terrible Beauty,"A Great and Terrible Beauty (Gemma Doyle, #1)",eng
587,60529709,9780060000000,Jonathan Safran Foer,2002,Everything Is Illuminated,Everything Is Illuminated,eng
588,752863886,9780750000000,Robert Ludlum,1986,The Bourne Supremacy,"The Bourne Supremacy (Jason Bourne, #2)",en-US
589,425266745,9780430000000,Tammara Webber,2012,Easy,"Easy (Contours of the Heart, #1)",en-CA
590,140439447,9780140000000,"Charles Dickens, Jeremy Tambling",1849,David Copperfield,David Copperfield,eng
591,316013684,9780320000000,"Sherman Alexie, Ellen Forney",2007,The Absolutely True Diary of a Part-Time Indian,The Absolutely True Diary of a Part-Time Indian,eng
592,679760806,9780680000000,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",1967,Мастер и Маргарита,The Master and Margarita,eng
593,553383043,9780550000000,Ursula K. Le Guin,1968,A Wizard of Earthsea,"A Wizard of Earthsea (Earthsea Cycle, #1)",en-US
594,763616052,9780760000000,"Kate DiCamillo, Chris Sheban",2000,Because of Winn-Dixie,Because of Winn-Dixie,eng
595,743253973,9780740000000,John Knowles,1959,A Separate Peace,A Separate Peace,en-US
596,385339607,9780390000000,John Grisham,1995,The Rainmaker,The Rainmaker,eng
597,142437239,9780140000000,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",1605,Don Quijote de La Mancha,Don Quixote,eng
598,6480098,9780010000000,Robin Hobb,1995,Assassin's Apprentice,"Assassin's Apprentice (Farseer Trilogy, #1)",eng
599,345418921,9780350000000,Douglas Adams,1980,The Restaurant at the End of the Universe,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)",eng
600,385739141,9780390000000,Lauren Kate,2010,Torment,"Torment (Fallen, #2)",eng
601,723247706,9780720000000,Beatrix Potter,1901,The Tale of Peter Rabbit,The Tale of Peter Rabbit,eng
602,64405044,9780060000000,"C.S. Lewis, Pauline Baynes",1953,The Silver Chair,"The Silver Chair (Chronicles of Narnia, #4)",eng
603,765316897,9780770000000,Brandon Sanderson,2008,The Hero of Ages,"The Hero of Ages (Mistborn, #3)",eng
604,679746048,9780680000000,Susanna Kaysen,1993,"Girl, Interrupted","Girl, Interrupted",eng
605,61173398,9780060000000,Chelsea Handler,2007,"Are You There, Vodka? It's Me, Chelsea","Are You There, Vodka? It's Me, Chelsea",
606,743278909,9780740000000,"Richard Bach, Russell Munson",1970,Jonathan Livingston Seagull,Jonathan Livingston Seagull,en-US
607,1481426303,9781480000000,Cassandra Clare,2014,City of Heavenly Fire,"City of Heavenly Fire (The Mortal Instruments, #6)",eng
608,920668372,9780920000000,"Robert Munsch, Sheila McGraw",1986,Love You Forever,Love You Forever,en-GB
609,1416524517,9781420000000,Stephen King,2006,Cell,Cell,en-US
610,067002581X,9780670000000,Daniel James Brown,2013,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,eng
611,618391118,9780620000000,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",1977,The Silmarillion,The Silmarillion (Middle-Earth Universe),eng
612,451210859,9780450000000,Stephen King,1987,The Drawing of the Three,"The Drawing of the Three (The Dark Tower, #2)",eng
613,330449605,9780330000000,Kate Morton,2008,The Forgotten Garden,The Forgotten Garden,en-GB
614,99428644,9780100000000,"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",1925,Der Prozeß,The Trial,eng
615,142501557,9780140000000,Sarah Dessen,2002,This Lullaby,This Lullaby,eng
616,743275012,9780740000000,Jodi Picoult,2000,Plain Truth,Plain Truth,eng
617,385523386,9780390000000,Piper Kerman,2010,Orange Is the New Black: My Year in a Women's Prison,Orange Is the New Black,eng
618,451528018,9780450000000,"Arthur Conan Doyle, Anne Perry",1902,The Hound of the Baskervilles,The Hound of the Baskervilles,eng
619,374275637,9780370000000,Daniel Kahneman,2011,"Thinking, Fast and Slow","Thinking, Fast and Slow",eng
620,345350499,9780350000000,Marion Zimmer Bradley,1982,The Mists of Avalon,"The Mists of Avalon (Avalon, #1)",eng
621,689841582,9780690000000,Judy Blume,1970,"Are You There God? It's Me, Margaret","Are You There God? It's Me, Margaret",eng
622,446612707,9780550000000,Nicholas Sparks,2002,Nights in Rodanthe,Nights in Rodanthe,eng
623,1476754454,9781480000000,Stephen King,2014,Mr. Mercedes,"Mr. Mercedes (Bill Hodges Trilogy, #1)",eng
624,441014941,9780440000000,Charlaine Harris,2007,All Together Dead,"All Together Dead (Sookie Stackhouse, #7)",eng
625,375706771,9780380000000,Chris Bohjalian,1997,Midwives,Midwives,en-US
626,395389496,9780400000000,Chris Van Allsburg,1985,The Polar Express,The Polar Express,en-US
627,140544518,9780140000000,"Jon Scieszka, Lane Smith",1989,The True Story of the Three Little Pigs,The True Story of the 3 Little Pigs,en-GB
628,425134350,9780430000000,Tom Clancy,1987,Patriot Games,"Patriot Games (Jack Ryan Universe, #2)",eng
629,61124265,9780060000000,"Paulo Coelho, Margaret Jull Costa",1998,Veronika decide morrer,Veronika Decides to Die,eng
630,385349947,9780390000000,"Sheryl Sandberg, Nell Scovell",2013,"Lean In: Women, Work, and the Will to Lead","Lean In: Women, Work, and the Will to Lead",eng
631,441013333,9780440000000,Charlaine Harris,2005,Dead as a Doornail ,"Dead as a Doornail (Sookie Stackhouse, #5)",eng
632,62085484,9780060000000,Tahereh Mafi,2011,"Shatter Me (Shatter Me, #1)","Shatter Me (Shatter Me, #1)",en-US
633,441783589,9780440000000,Robert A. Heinlein,1959,Starship Troopers,Starship Troopers,en-CA
634,385342063,9780390000000,Sophie Kinsella,2011,I've Got Your Number,I've Got Your Number,eng
635,1857993284,9781860000000,"Jostein Gaarder, Paulette Møller",1991,Sofies Verden,Sophie's World,eng
636,316134112,9780320000000,Mark Cotta Vaz,2011,,"The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #4)",eng
637,553278223,9780550000000,Ray Bradbury,1950,The Martian Chronicles,The Martian Chronicles,en-US
638,307592839,9780310000000,Jennifer Egan,2010,A Visit From the Goon Squad,A Visit from the Goon Squad,eng
639,753454947,9780750000000,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",1880,Heidi,Heidi,eng
640,61015725,9780060000000,Michael Crichton,2002,Prey,Prey,
641,7202326,9780010000000,C.S. Lewis,1956,The Last Battle,"The Last Battle (Chronicles of Narnia, #7)",eng
642,525950079,9780530000000,Ken Follett,2007,World Without End,"World Without End (The Kingsbridge Series, #2)",eng
643,312360304,9780310000000,"P.C. Cast, Kristin Cast",2008,Chosen: A House of Night Novel,"Chosen (House of Night, #3)",en-US
644,,,Colleen Hoover,2012,Slammed,"Slammed (Slammed, #1)",eng
645,60874163,9780060000000,Alex Flinn,2007,"Beastly (Beastly, #1, Kendra Chronicles, #1)","Beastly (Beastly, #1; Kendra Chronicles, #1)",eng
646,140424385,9780140000000,"Geoffrey Chaucer, Nevill Coghill",1390,Tales of Caunterbury,The Canterbury Tales,eng
647,312348649,9780310000000,Emily Giffin,2006,Baby Proof,Baby Proof,en-US
648,375856110,9780380000000,Christopher Paolini,2011,Inheritance,"Inheritance (The Inheritance Cycle, #4)",en-US
649,307593312,9780310000000,"Haruki Murakami, Jay Rubin, Philip Gabriel",2009,いちきゅうはちよん [Ichi-Kyū-Hachi-Yon],1Q84,eng
650,1840224029,9781840000000,Harriet Beecher Stowe,1852,Uncle Tom's Cabin or Life Among the Lowly,Uncle Tom's Cabin,eng
651,60809248,9780060000000,"Gaston Leroux, Alexander Teixeira de Mattos",1909,Le Fantôme de l'Opéra,The Phantom of the Opera,eng
652,441014917,9780440000000,Charlaine Harris,2006,"Definitely Dead (Sookie Stackhouse, #6)","Definitely Dead (Sookie Stackhouse, #6)",en-US
653,156007754,9780160000000,"José Saramago, Giovanni Pontiero",1995,Ensaio Sobre a Cegueira,Blindness,en-US
654,374158460,9780370000000,Jonathan Franzen,2010,Freedom,Freedom,en-US
655,142421715,9780140000000,Ally Condie,2011,Crossed,"Crossed (Matched, #2)",eng
656,1423100034,9781420000000,Ally Carter,2006,"I'd Tell You I Love You, But Then I'd Have to Kill You","I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",en-US
657,1416562591,9781420000000,Aravind Adiga,2008,The White Tiger,The White Tiger,eng
658,1841156736,9781840000000,Jonathan Franzen,2001,The Corrections,The Corrections,eng
659,1921351438,9781920000000,Barack Obama,1995,Dreams from My Father,Dreams from My Father: A Story of Race and Inheritance,eng
660,60541830,9780060000000,Michael Crichton,1980,Congo,Congo,eng
661,689711735,9780690000000,"Judith Viorst, Ray Cruz",1972,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",en-CA
662,618101365,9780620000000,Jhumpa Lahiri,1999,Interpreter of Maladies,Interpreter of Maladies,eng
663,60838655,9780060000000,Howard Zinn,1980,A People's History of the United States: 1492 to Present ,A People's History of the United States,eng
664,679745653,9780680000000,Truman Capote,1958,Breakfast at Tiffany's,Breakfast at Tiffany's,eng
665,345504968,9780350000000,Justin Cronin,2010,The Passage,"The Passage (The Passage, #1)",eng
666,60515198,9780060000000,Neil Gaiman,2005,Anansi Boys,Anansi Boys,eng
667,670011940,9780670000000,Sarah Dessen,2009,Along for the Ride,Along for the Ride,eng
